48. OPCODE: GU_SERVER_CHANNEL_INFO_REFRESHED_NFY, LENGTH: 121, sha1: 2f793974898d9f8f550cbe060b4a959822f500d7
49. OPCODE: GU_SERVER_CHANNEL_INFO_REFRESHED_NFY, LENGTH: 121, sha1: ec99d5d65f54de3cc9b244c0bcec646bb4324733
50. OPCODE: GU_SERVER_CHANNEL_INFO_REFRESHED_NFY, LENGTH: 121, sha1: 06979b0c3eeff9a97af8b02289c0790f27311272
51. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: 28f46f2ca3394ff10a4990a9a6d34c5fb8c75fb8
52. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: a926d7ff20cb8376f58384de022aa038f0c12383
53. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: 045e12e8b1fc25132562dd53a107eaed0f472f2b
54. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: cb89804e75bc1b35a97de071b999d984be146319
55. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: b62fe073d399f55bf6e0eec0e54218639d679bbc
56. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 52a12e717a0549c50b796e86fca1c4a3ae4b21cf
57. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 878b9d20b95a2f4b5ca5addc555ffa5d4c4518d2
58. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: e836b59443f9334e899a56b7fbae4d904a895149
59. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: 957fd5031e164ca78610e643823dc960bf293678
60. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: cc35cb9aa59428c5b4da26f6337e0209759994ce
61. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: eb45a13b816f60d5f33e5bf25bed2886c8329b85
62. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: 9b053e7857615290e02a937535ec9337c5c92058
63. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: 46dd06a40c90c5def962786b9164fd639b5b09f2
64. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 527818bd940ba65f1393d6ca24416ff27f8ff446
65. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: f4f686c94713a674d86e0dc248d19b448e080061
66. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: 1ee2c6e754eb6d64557f93ea1cc7ebae7832d2a2
67. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 42b8dcb435670d2f367b5ebdd175640437dc69bf
68. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: 2fea250171ac8208fde1ee3c8c6f4087ed4a80e9
69. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: 8b05727f7ab5eadcf566f26a884aebffea3a7bce
70. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: cb2f1ed640260d431f51c4783148614691ce94e3
71. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 7eafddbe4e48255a472cb5e0cc72efb7f5dec47b
72. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: bc31b87c0a448fc1fb463cc5cddffc4b7055e4ab
73. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: f3225e728ae23e0d072dc38eb906dda137e2d6ef
74. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: 4693e8a4a4fa93b88aef2aa2f6762c5495150479
75. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 0123edecdb8cae222df196b5587627c423c6dbef
76. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: 35c3ad7fcb42abdab94f0840b9b85bf3f717d8be
77. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: c2349014dbd0af9245a20b15a52d342ecd9a811a
78. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 18f11895f78c162f30b9152086e747e13e8dc352
79. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: 7700145502e76497eeac97ad13a7db665e681d80
80. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: b9a26a985768a347958067fcb90c9bb7b4a612f1
81. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: eedcb3d3ee3f2dbc455fb19afe034ee05148744e
82. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: ce4440157f6a751f006c980739802b8c5fe6a3df
83. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 38951f1a8ec1adad653f3ecc790d6889c85f079d
84. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: cfe1f27a1bdc4466f18955d3aa4f7d198ff18386
85. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: 2b795caadcba8bd5df3e25a10362e25af2852bba
86. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: e349a0aec1a67f6ca366a179a8712bb9bb2b618a
87. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 7bee0ffd580e0a21c6cef1c3c0c057dffad40354
88. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 1391ba1cf910791389d1f5a7359c626ef3b97595
89. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: fb949ac047c14d1db6701662a66bd65dcebd59c3
90. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: 00a3f4796a92dd2bc71897bbfa759b9846b78a90
91. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: cea10e2f85855460a67bf9c94e4fdd31a2897c04
92. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: c762fb643bb8f6e645a4d6fb6712b1f79ad9d643
93. OPCODE: GU_CHAR_ACTION_ATTACK, LENGTH: 47, sha1: aa080ec0760a9ee5917e41568ae8415d21a69de6
94. OPCODE: GU_UPDATE_CHAR_LP, LENGTH: 18, sha1: 4b4c15d00a0e03b7932f368bfb4e70eaf5678043
95. OPCODE: GU_UPDATE_CHAR_EXP, LENGTH: 22, sha1: 8a52243c53863ead3e6719d4ae243cfd89ae7ea3
96. OPCODE: GU_CHAR_TARGET_CHANGED, LENGTH: 10, sha1: 4cc85a068b699cccec9bbf1bcc4ba5d77b3f7565
97. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 0e8e03a4cbdd8881446639fa9e74f3d4eed72a65
98. OPCODE: GU_CHAR_FIGHTMODE, LENGTH: 7, sha1: af31348cb49233ef66c7ec4ee8847be5c5a25bea
99. OPCODE: UG_CHAR_TOGG_FIGHTING, LENGTH: 4, sha1: ea9fe54f53d885808070044310409a85c44d04c8
100. OPCODE: GU_CHAR_FIGHTMODE, LENGTH: 7, sha1: a55cfc3a142bf900cb18871943fdd3074c60d3fc
101. OPCODE: UG_CHAR_ATTACK_END, LENGTH: 4, sha1: 7ded6752729f0d97261e8827dc051f35fb75a887
102. OPCODE: UG_CHAR_TARGET_SELECT, LENGTH: 7, sha1: 8b0578d270c455c4e0b147c9187f859b323543c8
103. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 5a3fc3a5faba53629c243029917d562b62a9eb29
104. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 7fadd122bb38d8f88b5d9bcf6e0121af445e1f2e
105. OPCODE: UG_CHAR_MOVE, LENGTH: 22, sha1: 8f56548d10084570ca243637d3e39145b79922ac
106. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: c9ed958dff92160d7f401e7efc8bdce781fdce9c
107. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 5ffa8bcf4ebffc96ccef1425d02d45793360322d
108. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: eecd17b968048d301858b415ec00e8d33f31d24c
109. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: ddde3699b8ae71c111a619fdacd6305f3393a5a3
110. OPCODE: UG_CHAR_AIR_MOVE_SYNC, LENGTH: 21, sha1: 7bd991d207215dca4035a46c630711400831d534
111. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: a7ca98e2b0f40fd9d143a2e66b47b9a115dc85c3
