48. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: add5a6c08fdc50cd817ff4cccbeaaa8b6cabd7d0
49. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 2e3afadbd58cab087d759570387068f83306bcf9
50. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: f349d7292de352126d0ee221c9c1940e4444c292
51. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: 827531e70aa39b274af87ace35112caf38bdee13
52. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: c1269d102a12af1f914b7791586cdac7b4856435
53. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 65b3e5abbb5c3b06e1d7ca37d7e1743ef946b31a
54. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 0f8bdb66587a0266949a640504277e40daabf848
55. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 19fc899468c2978ecfcfd0e5fc81be65a4a00695
56. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: ad38190eab3ac5c0bfac9fdce8e587c2d1b635bc
57. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 88dc5ac2a0e09a03442ad83e3caf0a80aca6c03d
58. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 9a18e64824ff719620cfc7a0dea2c293aa3884ed
59. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 32f963c29be388199916012e42ac40c564f281a7
60. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: dad960b6cfc3587a15378f9d100482a70c1c0dd1
61. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 5c47009ce92a0070ca87bb49d974f18e7f0e7a0d
62. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: e51c156b500af75925091fe47550334093c26710
63. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 9d6a61e1c05c9e98ca698cc4061c8e88645eb675
64. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 61634d7504f5650638aefa9c447873dbae0435dd
65. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 93939adfe51f484146d2c50d7cf6b6684ee441be
66. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: ab0bacacc03d33f38dc3dff04a336bc675bc080d
67. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: c442449e74a6f5c1924b2a68e74f6c638304f677
68. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: b2180ff0d1d414620841242d449415c77e3f5bc1
69. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 1d76af054bf7ed6a90ed593e94383b15e76ad029
70. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: ffc341ec0e76ff790b90b85ca42549b9444bdaeb
71. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: d97cf1a2942571eb8b606186cbe5c8f51791c1c8
72. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: abd37f0c1f2bcc58e4ea0c877c46b9a87e9f296a
73. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: 14ae2f4feacdf4f93cb7edeea1291422341bb519
74. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: b1d15361cf5388ef02f0d924effa246033319284
75. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: e3e3b360751c999b2d69ef3c98663bbe5cfb1d71
76. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: c3834ce1fed13ad9d9418edc03861efe37b7ed5d
77. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: c2d0104628045d1b87bb3bfca697a22f04047260
78. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 55197f0705312dbebbfa0c84e3f45c2e3c11191f
79. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: c2c9512a9afa9bd357b1c6d19a067900e3aa6c5e
80. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 4b206d976b47e9db3dd612af8d82fc719920916e
81. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 7875069d624cddeb96dee1604ac81159fa89ed7c
82. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 315096bd0d1524c7b5a90eead864d645b3212702
83. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: a1e369f2f48cc98f130461a4baff117ae121fbb5
84. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: f81b6b12cd974fc772e9ffa08bde41621bc43d35
85. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: c3ab19c9951e2cb580ec5eb0f02308ecb4623aee
86. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: 9f4fe2d42753cf2915994bd4432e3a59eac7f92b
87. OPCODE: GU_BUFF_DROPPED, LENGTH: 13, sha1: a692a686a145f93e1b3a06ae28c217fa9354490c
88. OPCODE: GU_AVATAR_ATTRIBUTE_UPDATE, LENGTH: 497, sha1: a9a95ea93994858adf5f37e8c312f525b20a3a76
89. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: 36a02a34e5d0e9c0aeb53a7685e30a72c1b5154c
90. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: b2dc9d84252e970855f4c986f7421586d54db3e3
91. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: d97cf1a2942571eb8b606186cbe5c8f51791c1c8
92. OPCODE: GU_OBJECT_DESTROY, LENGTH: 6, sha1: 74994a2c858cdd1ebc59223e1361223201442c36
93. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 7ca895a9eb6728a8738ae943f1928cfdd26d43b7
94. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: b809377669f018703adbee0b4ab99b86de166578
95. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 1a55a8f17a0b1127f44a8f1f7eb2981a0bcb6d13
96. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 4b2fc57050e10de32db17f70726899ab629b8834
97. OPCODE: GU_OBJECT_CREATE, LENGTH: 1269, sha1: 7495577364b747866bfc6faaf3df21e43e582447
98. OPCODE: GU_UPDATE_CHAR_STATE, LENGTH: 977, sha1: fd3c453e3d3b0da420a0cb0d27ca2af2dccc8004
